id,insee,num_demand,lat,lon,v_commune_2024_Insee_LIBELLE
153,"66128","55",42.59082548,2.21820331,Oreilla
450,"66095","98",42.48338500,1.85575917,Latour-de-Carol
1278,"66150","32",42.40798636,2.35621503,Prats-de-Mollo-la-Preste
3749,"66154","111",42.65780840,2.06127391,Puyvalador
786,"66147","95",42.55751505,1.82406421,Porté-Puymorens
798,"66005","71",42.52854222,1.95425713,Angoustrine-Villeneuve-des-Escaldes
1431,"66119","109",42.68991363,2.31071194,Mosset
147,"66155","54",42.48405607,2.31207757,Py
835,"66149","182",42.60158860,2.43594922,Prades
871,"66072","132",42.47497108,2.01043661,Estavar
1328,"66122","149",42.63995315,2.23159672,Nohèdes
928,"66090","56",42.58501537,2.29402965,Jujols
203,"66043","13",42.50183664,2.43942850,Casteil
2735,"66119","106",42.69072662,2.25607277,Mosset
832,"66149","182",42.59749861,2.42877933,Prades
297,"66193","56",42.57851943,2.30872547,Serdinya
1143,"66193","39",42.57070517,2.32523872,Serdinya
3535,"66190","228",42.83371353,2.83431610,Salses-le-Château
3537,"66190","228",42.83890417,2.83100878,Salses-le-Château
3755,"66179","230",42.41360473,2.63978872,Saint-Laurent-de-Cerdans
586,"66128","55",42.59596378,2.19734509,Oreilla
296,"66080","103",42.46671754,2.18203241,Fontpédrouse
2785,"66221","44",42.52389439,2.49049506,Valmanya
29,"66206","91",42.44908763,2.51860416,Le Tech
2787,"66221","44",42.52172812,2.48829635,Valmanya
1283,"66221","44",42.52582547,2.48447869,Valmanya
2810,"66090","56",42.58602595,2.28292758,Jujols
3757,"66179","230",42.41108071,2.64129165,Saint-Laurent-de-Cerdans
1154,"66193","39",42.58080273,2.32278905,Serdinya
301,"66022","78",42.57903361,2.57441418,Boule-d'Amont
325,"66119","169",42.66259857,2.32386758,Mosset
1217,"66146","29",42.51491573,1.79149531,Porta
334,"66043","13",42.50320801,2.43203137,Casteil
390,"66202","70",42.50721386,1.98994168,Targasonne
2187,"66221","44",42.52546050,2.49248228,Valmanya
391,"66202","70",42.50799383,1.98852923,Targasonne
516,"66150","35",42.40848004,2.37347118,Prats-de-Mollo-la-Preste
1237,"66193","39",42.57565894,2.32980388,Serdinya
439,"66122","46",42.63252516,2.26798761,Nohèdes
447,"66198","73",42.70492094,2.41250450,Sournia
1233,"66149","143",42.59930361,2.43416575,Prades
596,"66128","55",42.59062084,2.21847981,Oreilla
3878,"66206","131",42.45066775,2.51389051,Le Tech
52,"66005","71",42.52797748,1.95731532,Angoustrine-Villeneuve-des-Escaldes
842,"66062","48",42.52903402,1.93181909,Dorres
4019,"66074","112",42.67149185,2.45846824,Eus
3885,"66206","131",42.44539559,2.52468589,Le Tech
59,"66155","7",42.48270819,2.40379024,Py
604,"66193","105",42.59084797,2.32032487,Serdinya
2162,"66022","209",42.56203143,2.58051480,Boule-d'Amont
801,"66080","128",42.48218077,2.18736089,Fontpédrouse
